編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLRKKHIGFCJ38CC,24,90.78,住家用,鋼筋混凝土造,87年9月29日,十層,,
RPPNMLRKKHIGFDJ48CC,30,93.21,住家用,鋼筋混凝土造,81年8月21日,四層,,
RPPNMLRKKHIGFCJ38CC,24,12.75,樓梯等公共設施,鋼筋混凝土造,87年9月29日,十層,,
RPPNMLRKKHIGFCJ38CC,24,37.52,停車場避難室等公共設施,鋼筋混凝土造,87年9月29日,十二層,,
RPTNMLOKKHIGFBJ38CC,15,27.37,商業用,鋼筋混凝土造,97年3月10日,十層,,
RPTNMLOKKHIGFBJ38CC,15,11.33,共有部分,鋼筋混凝土造,97年3月10日,十層,,
RPQNMLRKKHIGFDJ58CC,8,65.15,集合住宅,鋼筋混凝土造,104年1月5日,五層,,
RPQNMLRKKHIGFDJ58CC,8,10.89,本共有部分之項目有樓梯間、電梯機房等二項,鋼筋混凝土造,104年1月5日,五層,,
RPQNMLRKKHIGFDJ58CC,8,9.56,停車空間,鋼筋混凝土造,104年1月5日,五層,,
RPSNMLOKKHIGFBJ28CC,16,375.88,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPRNMLRKKHIGFCJ58CC,,115.20,住家用,加強磚造,,二層,,
RPPNMLSKKHIGFBJ38CC,3,89.99,商業用,鋼筋混凝土造,109年4月22日,十四層,,
RPPNMLSKKHIGFBJ38CC,3,76.49,本共有部分之項目有停車空間、防空避難室兼停車空間、公共服務空間、樓梯間、水箱、機房等六項。,鋼筋混凝土造,109年4月22日,十四層,,
RPPNMLTKKHIGFCJ58CC,2,60.70,店舖,鋼筋混凝土造,110年3月17日,十五層,,
RPQNMLRKKHIGFCJ48CC,8,79.27,集合住宅,鋼筋混凝土造,104年7月13日,十四層,,
RPQNMLRKKHIGFCJ48CC,8,17.26,共有部分,鋼筋混凝土造,104年7月13日,十四層,,
RPQNMLRKKHIGFCJ48CC,8,18.83,共有部分,鋼筋混凝土造,104年7月13日,十四層,,
RPPNMLLLKHIGFBJ77CC,10,292.33,工業用,鋼筋混凝土造,102年3月18日,十層,,
RPRNMLMJLHIGFBJ97CC,4,65.44,住家用,鋼筋混凝土造,108年3月20日,十四層,,
RPRNMLMJLHIGFBJ97CC,4,71.80,本共有部分之項目有停車空間、水箱、消防機房、梯廳、汙雨水機房、排煙室、緊急發電機室、防空避難室兼停車空間、台電配電室、電信室、開放空間、資源回收室、管理委員會空間、公共服務空間、管委會使用空間、樓梯間、水錶室、昇降機機房等１８項。,鋼筋混凝土造,108年3月20日,十四層,,
RPPNMLMLKHIGFBJ87CC,2,304.14,工廠,鋼筋混凝土造,109年8月26日,十一層,,
RPPNMLMLKHIGFBJ87CC,2,282.68,工廠,鋼筋混凝土造,109年8月26日,十一層,,
RPPNMLMLKHIGFBJ87CC,2,586.25,工廠,鋼筋混凝土造,109年8月26日,十一層,,
RPPNMLNLKHIGFBJ97CC,11,152.04,住家用,鋼筋混凝土造,101年1月13日,十二層,,
RPPNMLNLKHIGFBJ97CC,11,.21,管理員室,鋼筋混凝土造,101年1月13日,十二層,,
RPPNMLNLKHIGFBJ97CC,11,22.87,本共有部分之項目有：梯間、機械室、水箱等三項,鋼筋混凝土造,101年1月13日,十二層,,
RPPNMLNLKHIGFBJ97CC,11,63.63,本共有部分之項目有：防空避難室、停車空間等兩項,鋼筋混凝土造,101年1月13日,十二層,,
RPVNMLMJLHIGFBJ38CC,13,113.88,商業用,鋼筋混凝土造,99年2月8日,十八層,,
RPVNMLMJLHIGFBJ38CC,13,101.76,共有部分,鋼筋混凝土造,99年2月8日,十八層,,
RPTNMLMJLHIGFBJ18CC,4,74.29,住家用,鋼筋混凝土造,107年9月20日,二十二層,,
RPPNMLOLKHIGFBJ08CC,9,97.92,住家用,鋼筋混凝土造,103年1月14日,十四層,,
RPTNMLMJLHIGFBJ18CC,4,63.95,本共有部分之項目有防空避難室兼停車空間、消防泵浦室、汙水機房、雨水機房、梯間、台電配電場所、發電機房、防災中心、垃圾冷藏室、管委會使用空間、機械室、水箱、停車空間、蓄水池等１４項。,鋼筋混凝土造,107年9月20日,二十二層,,
RPPNMLOLKHIGFBJ08CC,9,90.32,本共有部分之項目有防空避難室兼停車空間、開放空間等二項。,鋼筋混凝土造,103年1月14日,十四層,,
RPPNMLOLKHIGFBJ08CC,9,23.35,本共有部分之項目有樓梯間、機械室、水箱等三項。,鋼筋混凝土造,103年1月14日,十四層,,
RPSNMLMJLHIGFBJ08CC,29,80.63,住家用,鋼筋混凝土造,83年1月18日,五層,,
RPSNMLMJLHIGFBJ08CC,29,7.52,共有部分,鋼筋混凝土造,83年1月18日,五層,,
RPUNMLMJLHIGFBJ28CC,14,88.27,住家用,鋼筋混凝土造,98年5月4日,十五層,,
RPUNMLMJLHIGFBJ28CC,14,7.56,共有部分,鋼筋混凝土造,98年5月4日,十五層,,
RPUNMLMJLHIGFBJ28CC,14,28.20,共有部分,鋼筋混凝土造,98年5月4日,十五層,,
RPWNMLMJLHIGFBJ48CC,30,94.66,住家用,鋼筋混凝土造,81年12月23日,十一層,,
RPWNMLMJLHIGFBJ48CC,30,19.77,共有部分,鋼筋混凝土造,81年12月23日,十一層,,
RPXNMLMJLHIGFBJ58CC,13,95.94,商業用,鋼筋混凝土造,99年1月6日,二十層,,
RPXNMLMJLHIGFBJ58CC,13,28.48,共有部分,鋼筋混凝土造,99年1月6日,二十層,,
RPXNMLMJLHIGFBJ58CC,13,5.53,共有部分,鋼筋混凝土造,99年1月6日,二十層,,
RPXNMLMJLHIGFBJ58CC,13,73.03,共有部分,鋼筋混凝土造,99年1月6日,二十三層,,
RPOOMLMJLHIGFBJ77CC,11,215.33,商業用,鋼筋混凝土造,101年8月21日,三層,,
RPOOMLMJLHIGFBJ77CC,11,79.31,本共有部分之項目有：防空避難室兼停車空間、管理室、前廊、開放空間、機電空間等五項,鋼筋混凝土造,101年8月21日,十九層,,
RPOOMLMJLHIGFBJ77CC,11,1.25,本共有部分之項目有：水箱等一項,鋼筋混凝土造,101年8月21日,十九層,,
RPQOMLMJLHIGFBJ97CC,29,77.11,住家用,鋼筋混凝土造,83年7月28日,三層,,
RPQOMLMJLHIGFBJ97CC,29,7.67,共有部分,鋼筋混凝土造,83年7月28日,三層,,
RPPOMLMJLHIGFBJ87CC,16,145.27,住商用,鋼筋混凝土造,96年2月12日,五層,,
RPPNMLQJLHIGFBJ18CC,39,89.81,住家用,鋼筋混凝土造,72年12月24日,三層,,
RPPNMLNJLHIGFBJ87CC,22,949.22,工業用,鋼筋混凝土造,90年6月12日,六層,,
RPROMLMJLHIGFBJ08CC,15,153.46,商業用,鋼筋混凝土造,96年12月27日,五層,,
RPQNMLQJLHIGFBJ28CC,29,86.72,住家用,鋼筋混凝土造,83年5月4日,七層,,
RPQNMLQJLHIGFBJ28CC,29,4.12,共有部分,鋼筋混凝土造,83年5月4日,七層,,
RPQNMLQJLHIGFBJ28CC,29,21.56,共有部分,鋼筋混凝土造,83年5月4日,七層,,
RPROMLMJLHIGFBJ08CC,15,84.81,共有部分,鋼筋混凝土造,96年12月27日,五層,,
RPROMLMJLHIGFBJ08CC,15,23.16,共有部分,鋼筋混凝土造,96年12月27日,五層,,
RPRNMLQJLHIGFBJ38CC,28,61.98,住家用,鋼筋混凝土造,84年5月29日,六層,,
RPRNMLQJLHIGFBJ38CC,28,5.16,共有部分,鋼筋混凝土造,84年5月29日,六層,,
RPRNMLQJLHIGFBJ38CC,28,14.68,共有部分,鋼筋混凝土造,84年5月29日,七層,,
RPPNMLQJLHIGFDJ38CC,29,74.67,住家用,鋼筋混凝土造,83年2月5日,五層,,
RPPNMLQJLHIGFDJ38CC,29,13.43,共有部分,鋼筋混凝土造,83年2月5日,五層,,
RPQNMLQJLHIGFDJ48CC,43,113.96,住家用,加強磚造,69年4月10日,二層,,
RPRNMLQJLHIGFDJ58CC,39,96.90,住家用,鋼筋混凝土造,73年4月27日,四層,,
RPSNMLQJLHIGFDJ68CC,16,17.86,住家用,鋼筋混凝土造,96年5月15日,五層,,
RPSNMLQJLHIGFDJ68CC,16,10.73,住宅、停車空間、樓梯間、機械室,鋼筋混凝土造,96年5月15日,五層,,
RPPNMLRJLHIGFBJ28CC,18,.12,管理員室,鋼筋混凝土造,94年4月22日,十二層,,
RPPNMLRJLHIGFBJ28CC,18,93.87,住家用,鋼筋混凝土造,94年4月22日,十二層,,
RPPNMLRJLHIGFBJ28CC,18,15.80,共有部分,鋼筋混凝土造,94年4月22日,十二層,,
RPPNMLRJLHIGFBJ28CC,18,54.33,共有部分,鋼筋混凝土造,94年4月22日,十三層,,
RPPNMLSJLHIGFDJ58CC,3,52.13,集合住宅,鋼筋混凝土造,108年9月17日,五層,,
RPPNMLSJLHIGFDJ58CC,3,27.24,共有部分,鋼筋混凝土造,108年9月17日,五層,,
RPPNMLSJLHIGFBJ38CC,18,88.44,住家用,鋼筋混凝土造,93年10月18日,十四層,,
RPPNMLTJLHIGFDJ68CC,,80.91,住家用,鋼筋混凝土造,,四層,,
RPPNMLSJLHIGFBJ38CC,18,20.45,共有部分,鋼筋混凝土造,93年10月18日,十四層,,
RPPNMLSJLHIGFBJ38CC,18,11.75,共有部分,鋼筋混凝土造,93年10月18日,十四層,,
RPPNMLTJLHIGFBJ48CC,12,42.90,住家用,鋼筋混凝土造,100年7月7日,十五層,,
RPPNMLTJLHIGFBJ48CC,12,39.35,本共有部分之項目有開放空間、社區中心、梯間、防空避難室、停車空間、車道、冷藏室、前廊等八項。,鋼筋混凝土造,100年7月7日,十五層,,
RPPNMLTJLHIGFBJ48CC,12,13.79,本共有部分之項目有梯間等一項,鋼筋混凝土造,100年7月7日,十五層,,
RPRNMLTJLHIGFBJ68CC,2,208.02,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年3月23日,四層,,
RPSNMLTJLHIGFBJ78CC,2,63.97,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,,
RPSNMLTJLHIGFBJ78CC,2,59.84,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,,
RPQNMLTJLHIGFBJ58CC,8,648.75,工業用,鋼筋混凝土造,104年1月9日,十層,,
RPPNMLKKLHIGFDJ97DC,1,63.38,集合住宅、停車空間、樓梯間,鋼筋混凝土造,110年11月1日,四層,,
RPPNMLKKLHIGFCJ77CC,25,43.16,住家用,鋼筋混凝土造,87年1月13日,十層,,
RPPNMLKKLHIGFCJ77CC,25,5.75,共有部分,鋼筋混凝土造,87年1月13日,十層,,
RPPNMLKKLHIGFCJ77CC,25,8.64,共有部分,鋼筋混凝土造,87年1月13日,十層,,
RPPNMLLKLHIGFBJ77CC,8,21.81,本共有部分之項目有停車空間、防災中心、台電配電室、車道、梯廳、排煙室、安全梯、升降機道、游泳池機房、消防中繼機房、電信室、水箱、發電機房、配電室、防空避難室兼停車空間、消防機房、泵浦機房、汙水機房等十八項。,鋼筋混凝土造,104年4月17日,二十九層,,
RPPNMLLKLHIGFBJ77CC,8,114.74,住家用,鋼筋混凝土造,104年4月17日,二十九層,,
RPPNMLLKLHIGFBJ77CC,8,10.82,住家用,鋼筋混凝土造,104年4月17日,二十九層,,
RPPNMLLKLHIGFBJ77CC,8,7.74,本共有部分之項目有開放空間、管委會空間、集中式垃圾貯存空間、車道、梯廳、排煙室、安全梯、升降機道、公共服務空間、室內游泳池、浴室、機房等十二項。,鋼筋混凝土造,104年4月17日,二十九層,,
RPPNMLLKLHIGFBJ77CC,8,26.51,本共有部分之項目有梯廳、排煙室、安全梯、升降機道、機械室、連結中繼泵機房、水箱等七項。,鋼筋混凝土造,104年4月17日,二十九層,,
RPPNMLLKLHIGFBJ77CC,8,.08,住家用,鋼筋混凝土造,104年4月17日,二十九層,,
RPPNMLLKLHIGFBJ77CC,8,59.50,本共有部分之項目有停車空間、防災中心、台電配電室、車道、梯廳、排煙室、安全梯、升降機道、游泳池機房、消防中繼機房、電信室、水箱、發電機房、配電室、防空避難室兼停車空間、消防機房、泵浦機房、汙水機房等十八項。,鋼筋混凝土造,104年4月17日,二十九層,,
RPPNMLLKLHIGFBJ77CC,8,.00,本共有部分之項目有開放空間、管委會空間、集中式垃圾貯存空間、車道、梯廳、排煙室、安全梯、升降機道、公共服務空間、室內游泳池、浴室、機房等十二項。,鋼筋混凝土造,104年4月17日,二十九層,,
RPPNMLPKLHIGFCJ28CC,28,82.80,住家用,鋼筋混凝土造,84年5月19日,十二層,,
RPPNMLPKLHIGFCJ28CC,28,10.59,共有部分,鋼筋混凝土造,84年5月19日,十二層,,
RPPNMLPKLHIGFCJ28CC,28,11.66,共有部分,鋼筋混凝土造,84年5月19日,十二層,,
RPRNMLQKLHIGFDJ68CC,8,20.18,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,,
RPQNMLKKLHIGFDJ97CC,1,63.21,集合住宅,鋼筋混凝土造,111年4月9日,五層,,
RPQNMLKKLHIGFDJ97CC,1,12.46,本共有部分之項目有停車空間、電信室、樓梯間、電梯機房、水箱等５項,鋼筋混凝土造,111年4月9日,五層,,
RPPNMLNKLHIGFDJ18CC,30,81.36,住家用,鋼筋混凝土造,81年12月1日,五層,,
RPQNMLPKLHIGFDJ48CC,5,52.84,集合住宅,鋼筋混凝土造,107年1月26日,五層,,
RPPNMLNKLHIGFDJ18CC,30,5.08,共有部分,鋼筋混凝土造,81年12月1日,五層,,
RPQNMLPKLHIGFDJ48CC,5,3.03,停車空間,鋼筋混凝土造,107年1月26日,五層,,
