編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLOJNHIGFBK28DA,33,12.26,公共設施,鋼筋混凝土造,79年2月15日,十層,,持分移轉
RPQNMLOJNHIGFBK28DA,33,33.25,住家用,鋼筋混凝土造,79年2月15日,十層,五層,全筆移轉
RPXNMLOJNHIGFDK56DA,22,21.72,住家用,鋼筋混凝土造,90年6月29日,三層,三層 陽台,全筆移轉
RPXNMLOJNHIGFDK56DA,22,6.35,樓梯間，屋頂突出物,鋼筋混凝土造,90年6月29日,三層,,持分移轉
RPSNMLQKNHIGFBK78DA,31,83.87,住家用,鋼筋混凝土造,81年9月30日,十層,六層 陽台,全筆移轉
RPSNMLQKNHIGFBK78DA,30,21.96,公共設施,鋼筋混凝土造,81年11月26日,十層,,持分移轉
RPUNMLOJNHIGFDK88DA,21,22.26,住家用,鋼筋混凝土造,91年4月17日,四層,三層 陽台 見其他登記事項,全筆移轉
RPUNMLOJNHIGFDK88DA,21,22.26,住家用,鋼筋混凝土造,91年4月17日,四層,四層 陽台 見其他登記事項,全筆移轉
RPUNMLOJNHIGFDK88DA,21,8.73,樓梯間、走廊、配電室,鋼筋混凝土造,91年4月17日,四層,,持分移轉
RPUNMLOJNHIGFDK88DA,21,8.73,樓梯間、走廊、配電室,鋼筋混凝土造,91年4月17日,四層,,持分移轉
RPUOMLQKNHIGFDK66DA,20,15.44,住家用,鋼筋混凝土造,92年7月16日,四層,一層 陽台 雨遮,全筆移轉
RPUOMLQKNHIGFDK66DA,20,4.76,樓梯間,鋼筋混凝土造,92年7月16日,四層,,持分移轉
RPSNMLPKNHIGFBK68DA,,71.33,住家用,鋼筋混凝土造,112年1月7日,五層,二層 陽台,全筆移轉
RPSNMLPKNHIGFBK68DA,,33.53,本共有部分之項目有樓梯間、停車空間（室內３輛）等２項。,鋼筋混凝土造,112年1月7日,五層,,持分移轉
RPRNMLRKNHIGFBK78DA,,87.36,住家用,鋼筋混凝土造,112年3月20日,五層,二層 陽台,全筆移轉
RPPNMLPJNHIGFAK18DA,2,240.06,住家用,鋼筋混凝土造,110年7月22日,三層,一層 二層 三層 陽台 騎樓,全筆移轉
RPRNMLRKNHIGFBK78DA,,9.92,本共有部分之項目有停車空間（室內４輛）等１項。,鋼筋混凝土造,112年3月20日,五層,,持分移轉
RPRNMLRKNHIGFBK78DA,,18.87,本共有部分之項目有安全梯、樓梯間、機道及梯廳等４項。,鋼筋混凝土造,112年3月20日,五層,,持分移轉
RPTNMLRKNHIGFBK98DA,,87.35,住家用,鋼筋混凝土造,112年3月20日,五層,四層 陽台,全筆移轉
RPTNMLRKNHIGFBK98DA,,27.50,本共有部分之項目有停車空間（室內４輛）等１項。,鋼筋混凝土造,112年3月20日,五層,,持分移轉
RPTNMLRKNHIGFBK98DA,,18.87,本共有部分之項目有安全梯、樓梯間、機道及梯廳等４項。,鋼筋混凝土造,112年3月20日,五層,,持分移轉
RPPOMLTJNHIGFDK98DA,21,20.92,住家用,鋼筋混凝土造,91年4月17日,四層,二層 陽台,全筆移轉
RPPOMLTJNHIGFDK98DA,21,8.49,樓梯間、走廊、配電室,鋼筋混凝土造,91年4月17日,四層,,持分移轉
RPUNMLLJNHIGFDK58DA,28,177.43,住家用,鋼筋混凝土造,83年12月21日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLRKNHIGFFK76DA,11,27.46,防空避難室、停車空間、樓梯間,ＲＣ造,101年5月23日,十層,,持分移轉
RPQNMLNLNHIGFBK38DA,34,246.65,住商用,鋼筋混凝土造,78年7月30日,二層,一層 二層 陽台 平台 屋頂突出物 地下層,全筆移轉
RPTNMLLKNHIGFFK78DA,30,84.36,住家用,鋼筋混凝土造,82年6月17日,四層,三層 陽台,全筆移轉
RPTNMLLKNHIGFFK78DA,30,8.24,樓梯間,鋼筋混凝土造,82年6月17日,四層,,持分移轉
RPQNMLSKNHIGFCK88DA,25,153.61,住家用,鋼筋混凝土造,87年6月8日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLQKNHIGFCK58DA,4,177.19,住宅、樓梯間,鋼筋混凝土造,108年1月30日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLPLNHIGFBK58DA,45,136.75,住家用,加強磚造,67年2月10日,二層,一層 二層,全筆移轉
RPUNMLMLNHIGFBK68DA,42,191.04,住家用,鋼筋混凝土造,70年11月10日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPRNMLNLNHIGFCK58DA,,96.82,住家用,加強磚造,,二層,一層 二層 電梯樓梯間,全筆移轉
RPOOMLLKNHIGFDK18DA,44,88.72,住家用,鋼筋混凝土造,68年4月16日,一層,一層,全筆移轉
RPOOMLLKNHIGFDK18DA,44,4.80,樓梯間,鋼筋混凝土造,68年4月16日,三層,,持分移轉
RPPNMLTLNHIGFBK98EA,,82.50,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPSNMLQKNHIGFFK56DA,26,82.94,住家用,鋼筋混凝土造,86年1月29日,九層,九層 陽台,全筆移轉
RPSNMLQKNHIGFFK56DA,26,16.90,地下室,鋼筋混凝土造,86年1月29日,,,持分移轉
RPSNMLQKNHIGFFK56DA,26,2.82,公共設施,鋼筋混凝土造,86年1月29日,九層,,持分移轉
RPPNMLOLNHIGFBK38DA,45,188.80,住家用,加強磚造,67年5月8日,3,一層 二層 三層 見其他登記事項,全筆移轉
RPXQMLMKNHIGFDK76DA,4,67.60,集合住宅,鋼筋混凝土造,107年11月20日,十層,八層 陽台 雨遮,全筆移轉
RPXQMLMKNHIGFDK76DA,4,45.72,共有部分,鋼筋混凝土造,107年11月20日,十層,,持分移轉
RPXQMLMKNHIGFDK76DA,4,31.50,共有部分,鋼筋混凝土造,107年11月20日,十層,,持分移轉
RPRNMLKKNHIGFFK48DA,27,219.96,工業用,ＲＣ鋼骨造,85年4月11日,三層,一層 二層 三層 陽台 平台,全筆移轉
RPRNMLKKNHIGFFK48DA,27,103.65,工業用,鋼造,85年4月11日,一層,一層,全筆移轉
RPTNMLQKNHIGFFK66DA,9,102.56,集合住宅,鋼筋混凝土造,103年7月4日,十一層,四層 陽台,全筆移轉
RPTNMLQKNHIGFFK66DA,9,.30,管委會空間,鋼筋混凝土造,103年7月4日,十一層,一層,持分移轉
RPTNMLQKNHIGFFK66DA,9,20.11,樓梯間、電梯機房、機房、水箱,鋼筋混凝土造,103年7月4日,十一層,,持分移轉
RPTNMLQKNHIGFFK66DA,9,17.84,停車空間、機械室、機車停車空間、防空避難室兼停車空間、台電受電室,鋼筋混凝土造,103年7月4日,十一層,,持分移轉
RPTNMLQKNHIGFFK66DA,9,30.87,停車空間、機械室、機車停車空間、防空避難室兼停車空間、台電受電室,鋼筋混凝土造,103年7月4日,十一層,,持分移轉
RPPNMLTLNHIGFAK88EA,39,178.22,住家用,加強磚造,73年1月15日,二層,一層 二層,全筆移轉
RPRNMLKMNHIGFBK28DA,33,139.54,住家用,加強磚造,78年11月30日,二層,一層 二層 陽台 平台 屋頂突出物,全筆移轉
