鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
南投市,房地(土地+建物)+車位,南投縣南投市文化路707巷,26.62,住,,,1120213,土地6建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.29,2,2,2,有,無,7530000,79493,坡道平面,30.66,1200000,,RPQNMLPKKHIGFAM28CB,英倫天琴,E3棟7F號
南投市,房地(土地+建物)+車位,南投縣南投市彰南路二段630巷,21.68,住,,,1120213,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,82.32,2,1,1,有,無,6450000,81552,一樓平面,19.17,1300000,,RPPNMLKLKHIGFAM87DB,福崗晴園,B棟5號
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮大同一街,27.41,住,,,1120211,土地2建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.77,3,2,2,有,無,10380000,73338,坡道平面,25.96,1300000,,RPPNMLLLKHIGFCM08CB,?園大樓,1棟7A號
南投市,房地(土地+建物),南投縣南投市華陽路,129.49,住,,,1120219,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,179.0,4,3,4,有,無,15580000,87039,,0.0,0,,RPPNMLMLKHIGFAM97CB,首富森境,A棟7號
竹山鎮,房地(土地+建物),南投縣竹山鎮東鄉路11巷3號,88.23,住,,,1120221,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.1,4,0,5,有,無,7700000,43234,,0.0,0,,RPPNMLMLKHIGFDM28CB,東興雅居,C棟0號
竹山鎮,房地(土地+建物),南投縣竹山鎮東鄉路11巷9號,89.07,住,,,1120222,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.1,4,0,5,有,無,7500000,42111,,0.0,0,,RPQNMLMLKHIGFDM38CB,東興雅居,F棟0號
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮英六街,25.14,住,,,1120214,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.15,2,2,2,有,無,6200000,73864,一樓平面,13.75,1000000,,RPPNMLMLKHIGFCM28DB,遇見幸福,A1棟3號
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮英六街,25.14,住,,,1120218,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.15,2,2,2,有,無,6210000,74006,一樓平面,13.75,1000000,,RPQNMLMLKHIGFCM38DB,遇見幸福,A1棟4號
竹山鎮,房地(土地+建物),南投縣竹山鎮集山路三段175巷,35.29,住,,,1120211,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.48,2,1,2,有,無,4620000,56014,,0.0,0,,RPRNMLNLKHIGFDM58CB,聖德淳風竹山一期,B棟5號
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮集山路三段175巷,36.52,住,,,1120211,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.15,2,1,2,有,無,5600000,56831,一樓平面,20.81,750000,,RPSNMLNLKHIGFDM68CB,聖德淳風竹山一期,A棟1號
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮集山路三段175巷,35.29,住,,,1120216,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.3,2,1,2,有,無,5560000,57711,一樓平面,20.82,800000,,RPTNMLNLKHIGFDM78CB,聖德淳風竹山一期,B棟2號
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮集山路三段175巷,35.29,住,,,1120211,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.3,2,1,2,有,無,5620000,58438,一樓平面,20.82,800000,,RPUNMLNLKHIGFDM88CB,聖德淳風竹山一期,B棟5號
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段1161巷,41.67,住,,,1120211,土地3建物1車位1,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,141.03,3,2,2,有,無,7700000,58385,坡道平面,27.13,1050000,,RPPNMLNLKHIGFAM08CB,萬景山河,B棟B5號
南投市,房地(土地+建物),南投縣南投市文化南路,92.5,住,,,1120213,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.89,4,3,3,有,無,13100000,73229,,0.0,0,,RPPNMLOLKHIGFAM18CB,微好森活,B棟3號
南投市,房地(土地+建物),南投縣南投市復興路,70.0,住,,,1120221,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,174.0,4,2,4,有,無,15600000,89655,,0.0,0,,RPTNMLOLKHIGFAM58CB,首富京采,A棟8號
