鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
員林市,房地(土地+建物),彰化縣員林市大同路一段４１２號,75.0,住,,,1120120,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0770209,162.33,3,3,3,有,無,無,30000,185,,0.0,0,,RPQNMLPKKHIGFDN78CC
員林市,房地(土地+建物),彰化縣員林市中正路６５２巷２０號２樓,20.0,住,,,1120213,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801023,63.95,4,2,1,有,無,無,12000,188,,0.0,0,,RPRNMLPKKHIGFDN88CC
彰化市,房地(土地+建物)+車位,彰化縣彰化市公園路一段２３７巷５弄４號七樓之一、之二,38.77,住,,,1120216,土地2建物3車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820430,223.17000000000002,3,2,3,有,有,無,14000,63,坡道平面,0.0,0,七樓之一和之二一起出租予承租人,RPPNMLQKKHIGFAN48CC
彰化市,建物,彰化縣彰化市彰鹿路１０７巷３號,0.0,工,,,1120209,土地0建物1車位0,見其他登記事項,8,華廈(10層含以下有電梯),辦公室、廠房、宿舍、商品陳列式,鋼筋混凝土造,0811217,137.18,4,2,2,有,有,有,17000,124,,0.0,0,,RPPNMLSKKHIGFAN68CC
彰化市,建物,彰化縣彰化市建寶街１３２巷１５號,0.0,住,,,1120203,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0641014,17.16,1,0,1,有,無,有,5000,291,,0.0,0,,RPQNMLSKKHIGFAN78CC
彰化市,建物,彰化縣彰化市埔西街６０巷２０號,0.0,住,,,1120211,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0680605,14.87,1,0,1,有,無,有,5500,370,,0.0,0,,RPRNMLSKKHIGFAN88CC
彰化市,建物,彰化縣彰化市中山路二段６４４巷１６號三樓之３,0.0,住,,,1120207,土地0建物1車位1,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100302,93.55000000000001,2,2,1,有,有,有,20000,214,坡道平面,20.5,0,,RPSNMLSKKHIGFAN98CC
彰化市,房地(土地+建物),彰化縣彰化市中山路二段２２９號、２３１號,138.0,住,,,1120210,土地2建物2車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670404,300.87,0,0,0,無,無,有,80000,266,,0.0,0,,RPPNMLLLKHIGFAN08CC
彰化市,土地,中華段222地號,44.0,住,,,1120208,土地1建物0車位0,,,其他,,,,0.0,1,0,0,有,無,有,11000,250,,0.0,0,,RPQNMLLLKHIGFAN18CC
秀水鄉,房地(土地+建物),彰化縣秀水鄉彰水路一段７９３號,54.4,住,,,1120209,土地1建物1車位0,一層,3,店面(店鋪),住宅、停車空間,鋼筋混凝土造,0980116,54.4,0,0,0,無,無,有,12000,221,,0.0,0,,RPRNMLLLKHIGFAN28CC
