編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSJNHIGFAO88DA,前溪段,139.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01570000
RPRNMLKKNHIGFAO48EA,新港段,132.83,都市：其他:道路用地,1,1,全筆移轉,04950000
RPRNMLLJNHIGFAO48EA,竹港段,103.02,都市：其他:河川區,1,1,全筆移轉,01690001
RPRNMLLJNHIGFAO48EA,竹港段,54.34,都市：其他:河川區,1,1,全筆移轉,01700000
RPRNMLLJNHIGFAO48EA,竹港段,38.14,都市：其他:河川區,1,1,全筆移轉,01720001
RPOOMLSJNHIGFAO88DA,樹下段,7.31,非都市：特定農業區 ; 非都市編定：農牧用地,24,1,持分移轉,07980000
RPOOMLSJNHIGFAO88DA,樹下段,64.22,非都市：特定農業區 ; 非都市編定：農牧用地,96,11,持分移轉,10620000
RPOOMLSJNHIGFAO88DA,樹下段,41.85,非都市：特定農業區 ; 非都市編定：農牧用地,96,11,持分移轉,10630000
RPXNMLTJNHIGFAO17DA,南寮段,16.27,都市：其他:農業區,3,1,持分移轉,03470000
RPXNMLTJNHIGFAO17DA,南寮段,58.80,都市：其他:農業區,3,1,持分移轉,03480000
RPUNMLLKNHIGFAO88EA,中雅段,4.00,都市：其他:第二種住宅區,1,1,全筆移轉,01890017
RPUOMLKKNHIGFAO78DA,聚吉段,6.00,都市：其他:道路用地,1,1,全筆移轉,00820040
RPWNMLLKNHIGFAO98DA,鹽水段,14.92,都市：其他:道路廣場用地(道路用地),1,1,全筆移轉,05490000
RPWNMLLKNHIGFAO98DA,鹽水段,14.30,都市：其他:道路廣場用地(道路用地),1,1,全筆移轉,05580000
RPRNMLPJNHIGFAO78DA,中雅段,5.25,都市：其他:第二種住宅區,5040,12,持分移轉,02200000
RPWPMLKKNHIGFAO09DA,港南段,130.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07550000
RPQNMLMKNHIGFAO58EA,武陵段,59.59,都市：其他:第一種住宅區,100000,1004,持分移轉,11410044
RPSNMLMKNHIGFAO78EA,光鎮段,108.31,都市：其他:道路用地,18750,13747,持分移轉,06550002
RPSNMLMKNHIGFAO78EA,中央段,70.27,都市：其他:道路用地,52,7,持分移轉,14640000
RPXNMLLKNHIGFAO09DA,鹽水段,88.91,都市：其他:道路廣場用地(道路用地),1,1,全筆移轉,05590000
RPQNMLOJNHIGFAO58DA,中華段,40.50,都市：其他:第一種住宅區,4,1,持分移轉,01990000
RPPOMLPKNHIGFAO78DA,光華段,1.10,都市：其他:第一種住宅區,1,1,全筆移轉,05460008
