編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLMJOHIGFEP98DA,春牛埔段,582.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08910000
RPOOMLMJOHIGFEP88DA,春牛埔段,1872.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08890000
RPPNMLRJOHIGFEP76DA,崙子段,31.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,14280,持分移轉,00390012
RPRNMLOJNHIGFEP56DA,廟東段,60.41,都市：其他:住宅區,1,1,全筆移轉,05120000
RPPNMLRJOHIGFEP76DA,崙子段,104.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,14558,持分移轉,00390016
RPPNMLRJOHIGFEP76DA,崙子段,899.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00390018
RPPNMLRJOHIGFEP76DA,崙子段,94.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00390028
SPPOMLMJOHIGFEP09DA,春牛埔段,2017.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08900000
RPPNMLOJOHIGFEP09DA,豐德段,939.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00540000
RPRNMLOJNHIGFCP98DA,永安段,1839.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13570000
RPWNMLSJNHIGFEP47DA,華北段,8.84,都市：其他:住宅區,6,1,持分移轉,01660000
RPTNMLMJNHIGFAP78DA,咬狗北段,660.66,非都市：一般農業區 ; 非都市編定：水利用地,1,1,全筆移轉,02610001
RPRNMLLKNHIGFAP68EA,龍潭段,54.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,288,12,持分移轉,03890000
RPUNMLLKNHIGFEP66DA,三和段,1489.00,非都市：特定農業區 ; 非都市編定：農牧用地,2489,1489,持分移轉,17090000
RPPNMLTJNHIGFCP66DA,茄苳段,4246.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06990000
RPSNMLKKNHIGFFP09DA,萬厝段,137.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14980001
RPPNMLKKNHIGFCP58EA,新宅段,2388.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12670000
RPPNMLKKNHIGFCP58EA,新宅段,1365.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12670001
RPROMLRJNHIGFCP76DA,天后段,115.38,都市：其他:商業區,1,1,全筆移轉,03580001
