編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMJLHIGFAT58CB,廣興段,34.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,634,持分移轉,04470000
RPPNMLMJLHIGFAT58CB,廣興段,2.16,非都市：鄉村區 ; 非都市編定：交通用地,10000,633,持分移轉,04480000
RPRNMLPKKHIGFAT09CB,瑞光段,27.39,都市：住,100000,938,持分移轉,11390000
RPTNMLNLKHIGFAT56CB,瑞光段,26.37,都市：住,100000,903,持分移轉,11390000
RPPNMLNLKHIGFAT78CB,斯文段,23.57,都市：住,10000,77,持分移轉,12980000
RPPNMLNJLHIGFAT68CB,斯文段,22.04,都市：住,10000,72,持分移轉,12980000
RPQNMLNJLHIGFAT78CB,林內段,59.30,都市：住,100000,10743,持分移轉,07260000
RPPNMLQJLHIGFAT98CB,新安段,29.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,7846,持分移轉,13210000
RPQNMLNLKHIGFAT88CB,瑞光段,29.43,都市：住,100000,1008,持分移轉,11390000
RPRNMLNLKHIGFAT98CB,瑞光段,27.39,都市：住,100000,938,持分移轉,11390000
RPQNMLQJLHIGFAT09CB,新安段,25.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,6597,持分移轉,13210000
RPPNMLOKLHIGFCT09CB,光華段,35.52,都市：住,10000,424,持分移轉,03750000
RPPNMLRJLHIGFDT76CB,頂中段,10.20,都市：商,10000,152,持分移轉,10990000
RPPNMLRJLHIGFDT76CB,頂中段,1.97,都市：商,10000,152,持分移轉,10950000
RPPNMLRJLHIGFDT76CB,頂中段,.18,都市：住,10000,152,持分移轉,10980000
RPPNMLRJLHIGFDT76CB,頂中段,.07,都市：商,10000,152,持分移轉,11000000
RPPNMLRJLHIGFDT76CB,頂中段,1.77,都市：住,10000,152,持分移轉,10970000
RPPNMLRJLHIGFDT76CB,頂中段,2.30,都市：商,10000,152,持分移轉,10960000
RPQNMLRJLHIGFAT56CB,九智段,72.15,都市：住,1,1,全筆移轉,10350022
RPQNMLRJLHIGFAT56CB,九智段,11.13,都市：住,218101,7215,持分移轉,10380000
RPQNMLRJLHIGFAT56CB,九智段,1.12,都市：住,218101,7215,持分移轉,10350030
RPQNMLRJLHIGFAT56CB,九智段,.42,都市：農,218101,7215,持分移轉,10350001
RPQNMLRJLHIGFAT56CB,九智段,6.04,都市：農,53,1,持分移轉,10370000
RPQNMLRJLHIGFAT56CB,九智段,.46,都市：住,53,1,持分移轉,10380002
RPPNMLSJLHIGFCT76CB,大同段,37.49,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,3889,持分移轉,12180000
RPPNMLNKLHIGFCT98CB,崙潮段,81.27,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03550073
RPPNMLNKLHIGFCT98CB,崙潮段,26.68,非都市：一般農業區 ; 非都市編定：甲種建築用地,8,1,持分移轉,03550070
RPQNMLSJLHIGFAT66CB,潭頭段,47.65,都市：住,10000,588,持分移轉,12750000
RPPNMLSJLHIGFAT56CB,九智段,72.15,都市：住,1,1,全筆移轉,10350026
RPPNMLSJLHIGFAT56CB,九智段,11.13,都市：住,218101,7215,持分移轉,10380000
RPPNMLSJLHIGFAT56CB,九智段,1.12,都市：住,218101,7215,持分移轉,10350030
RPPNMLSJLHIGFAT56CB,九智段,.42,都市：其他:道路用地,218101,7215,持分移轉,10350001
RPPNMLSJLHIGFAT56CB,九智段,6.04,都市：農,53,1,持分移轉,10370000
RPPNMLSJLHIGFAT56CB,九智段,.46,都市：住,53,1,持分移轉,10380002
RPRNMLSJLHIGFAT76CB,潭頭段,47.65,都市：住,10000,588,持分移轉,12750000
RPPNMLSJLHIGFDT86CB,龍帝段,108.51,都市：住,1,1,全筆移轉,07140003
RPPNMLSJLHIGFDT86CB,龍帝段,22.64,都市：住,375920,22635,持分移轉,07140000
RPPNMLSJLHIGFDT86CB,龍帝段,6.50,都市：其他:道路用地,16306,650,持分移轉,07160000
RPQNMLNKLHIGFCT09CB,蓬萊段,24.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,561,持分移轉,04060000
RPQNMLOKLHIGFCT56CB,光華段,35.77,都市：住,10000,427,持分移轉,03750000
RPQNMLPKLHIGFAT09CB,瑞光段,32.73,都市：住,100000,1121,持分移轉,11390000
RPRNMLOKLHIGFCT66CB,光華段,35.77,都市：住,10000,427,持分移轉,03750000
RPPNMLPKLHIGFAT98CB,瑞光段,29.43,都市：住,100000,1008,持分移轉,11390000
RPRNMLPKLHIGFAT56CB,瑞光段,35.27,都市：住,100000,1208,持分移轉,11390000
RPSNMLPKLHIGFAT66CB,瑞光段,35.27,都市：住,100000,1208,持分移轉,11390000
RPPNMLQKLHIGFAT09CB,勝興段,30.31,都市：住,100000,2839,持分移轉,05320004
RPQNMLQKLHIGFAT56CB,香潭段,30.91,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,2728,持分移轉,12360000
RPRNMLQKLHIGFAT66CB,香潭段,32.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,2895,持分移轉,12360000
RPPNMLOKLHIGFAT88CB,九智段,72.15,都市：住,1,1,全筆移轉,10350023
RPPNMLOKLHIGFAT88CB,九智段,11.13,都市：住,218101,7215,持分移轉,10380000
RPPNMLOKLHIGFAT88CB,九智段,1.12,都市：住,218101,7215,持分移轉,10350030
RPPNMLOKLHIGFAT88CB,九智段,.42,都市：其他:道路用地,218101,7215,持分移轉,10350001
RPPNMLOKLHIGFAT88CB,九智段,6.04,都市：農,53,1,持分移轉,10370000
RPPNMLOKLHIGFAT88CB,九智段,.46,都市：住,53,1,持分移轉,10380002
RPPNMLRKLHIGFAT56CB,斯文段,22.35,都市：住,10000,73,持分移轉,12980000
RPSNMLQKLHIGFAT76CB,香潭段,32.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,2895,持分移轉,12360000
RPPNMLTKLHIGFCT96CB,東寧段,31.57,都市：住,10000,252,持分移轉,05610000
RPRNMLTKLHIGFCT17CB,南寧段,32.38,都市：住,100000,6123,持分移轉,02980006
RPQNMLLLLHIGFAT78CB,香揚段一小段,4.67,都市：住,100000,157,持分移轉,00300000
RPQNMLLLLHIGFAT78CB,香揚段一小段,1.28,都市：住,100000,157,持分移轉,00300001
RPQNMLLLLHIGFAT78CB,香揚段一小段,16.09,都市：住,100000,157,持分移轉,00120000
RPPNMLLLLHIGFAT68CB,香揚段一小段,4.67,都市：住,100000,157,持分移轉,00300000
RPQNMLLLLHIGFAT78CB,香揚段一小段,4.45,都市：住,100000,157,持分移轉,00120001
RPPNMLLLLHIGFAT68CB,香揚段一小段,1.28,都市：住,100000,157,持分移轉,00300001
RPPNMLLLLHIGFAT68CB,香揚段一小段,16.09,都市：住,100000,157,持分移轉,00120000
RPPNMLLLLHIGFAT68CB,香揚段一小段,4.45,都市：住,100000,157,持分移轉,00120001
RPQNMLTKLHIGFCT07CB,東寧段,38.46,都市：住,10000,307,持分移轉,05610000
RPRNMLLLLHIGFAT88CB,香揚段一小段,4.85,都市：住,100000,163,持分移轉,00300000
RPRNMLLLLHIGFAT88CB,香揚段一小段,1.33,都市：住,100000,163,持分移轉,00300001
RPRNMLLLLHIGFAT88CB,香揚段一小段,16.71,都市：住,100000,163,持分移轉,00120000
RPRNMLLLLHIGFAT88CB,香揚段一小段,4.62,都市：住,100000,163,持分移轉,00120001
RPSNMLLLLHIGFAT98CB,香揚段一小段,4.67,都市：住,100000,157,持分移轉,00300000
RPSNMLLLLHIGFAT98CB,香揚段一小段,1.28,都市：住,100000,157,持分移轉,00300001
RPSNMLLLLHIGFAT98CB,香揚段一小段,16.09,都市：住,100000,157,持分移轉,00120000
RPSNMLLLLHIGFAT98CB,香揚段一小段,4.45,都市：住,100000,157,持分移轉,00120001
RPTNMLLLLHIGFAT09CB,香揚段一小段,4.93,都市：住,100000,166,持分移轉,00300000
RPTNMLLLLHIGFAT09CB,香揚段一小段,1.35,都市：住,100000,166,持分移轉,00300001
RPTNMLLLLHIGFAT09CB,香揚段一小段,17.02,都市：住,100000,166,持分移轉,00120000
RPTNMLLLLHIGFAT09CB,香揚段一小段,4.71,都市：住,100000,166,持分移轉,00120001
