編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLLKNHIGFAU96DA,28,24.95,住家用,鋼筋混凝土造,84年8月19日,十一層,八層 陽台,全筆移轉
RPWNMLLKNHIGFAU96DA,28,8.01,共有部份,鋼筋混凝土造,84年8月19日,十一層,,持分移轉
RPPOMLQKNHIGFAU86DA,30,88.28,住商用,鋼筋混凝土造,82年6月29日,五層,一層 平台,全筆移轉
RPUNMLSKNHIGFAU47DA,37,87.44,住家用,鋼筋混凝土造,75年7月16日,五層,四層 陽台,全筆移轉
RPPOMLQKNHIGFAU86DA,30,14.14,共有部份,鋼筋混凝土造,82年6月29日,五層,,持分移轉
RPUNMLSKNHIGFAU47DA,37,12.05,共有部份,鋼筋混凝土造,75年7月16日,五層,,持分移轉
RPQNMLQKNHIGFAU86DA,35,26.56,住家用,鋼筋混凝土造,76年11月17日,七層,六層 陽台,全筆移轉
RPQNMLQKNHIGFAU86DA,35,6.63,共有部份,鋼筋混凝土造,76年11月17日,七層,,持分移轉
RPSOMLRKNHIGFAU27DA,1,69.13,集合住宅,鋼筋混凝土造,111年3月11日,五層,五層 陽台,全筆移轉
RPSOMLRKNHIGFAU27DA,1,27.77,共有部份,鋼筋混凝土造,111年3月11日,五層,,持分移轉
RPSOMLRKNHIGFAU27DA,1,15.28,共有部分（停車空間）,鋼筋混凝土造,111年3月11日,五層,,持分移轉
RPPOMLSKNHIGFAU07DA,28,100.37,住家用,鋼筋混凝土造,84年3月28日,七層,四層 陽台 見其他登記事項,全筆移轉
RPPOMLSKNHIGFAU07DA,28,28.30,共有部份,鋼筋混凝土造,84年3月28日,七層,,持分移轉
RPPOMLSKNHIGFAU07DA,28,7.65,共有部份,鋼筋混凝土造,84年3月28日,七層,,持分移轉
RPROMLLKNHIGFAU56DA,54,68.68,住家用,鋼筋混凝土造,57年12月23日,二層,一層 二層,全筆移轉
RPUOMLQKNHIGFAU37DA,8,209.76,農舍,鋼筋混凝土造,104年6月17日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLLKNHIGFAU88DA,44,97.66,住商用,鋼筋混凝土加強磚造,68年3月13日,二層,一層 二層 騎樓,全筆移轉
RPXNMLOLNHIGFAU47DA,27,188.58,住家用,鋼筋混凝土造,85年5月23日,三層,一層 二層 三層 陽台 平台 見其他登記事項,全筆移轉
RPPNMLPLNHIGFAU76DA,25,329.53,停車空間門廊住宅,鋼筋混凝土造,87年6月11日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPPNMLOLNHIGFAU66DA,4,45.94,集合住宅,鋼筋混凝土造,108年8月8日,十一層,三層 陽台,全筆移轉
RPPNMLOLNHIGFAU66DA,4,24.45,本共有部分之項目有（地下一層：停車空間、車道、昇降設備、安全梯、電信室、台電配電室、電錶區及發電機室等）（地下二層：防空避難室兼停車空間、車道、昇降設備、安全梯、消防機械室及組合式水箱等）（一層：騎樓、門廳、管委會使用空間、梯廳、安全梯及昇降設備等）,鋼筋混凝土造,108年8月8日,十一層,,持分移轉
RPOOMLNLNHIGFAU56DA,44,45.92,住家用,鋼筋混凝土加強磚造,68年3月20日,二層,一層 二層 屋頂突出物,持分移轉
RPXNMLQLNHIGFAU67DA,50,89.25,住家用,鋼筋混凝土加強磚造,62年10月13日,二層,一層 二層,全筆移轉
RPVNMLNLNHIGFAU17DA,,34.02,住家用,鋼筋水泥蓋瓦,,一層,一層,全筆移轉
RPPNMLQLNHIGFAU96EA,27,196.00,住家用,鋼筋混凝土造,85年8月6日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPPNMLTLNHIGFAU27EA,29,25.57,住家用,鋼筋混凝土造,83年11月15日,十二層,八層 花台,全筆移轉
RPPNMLTLNHIGFAU27EA,29,5.84,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPNMLTLNHIGFAU27EA,29,8.30,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPVNMLPLNHIGFAU37DA,23,20.04,住家用,鋼筋混凝土造,88年11月25日,六層,二層 陽台,全筆移轉
RPVNMLPLNHIGFAU37DA,23,14.25,共有部份,鋼筋混凝土造,88年11月25日,六層,,持分移轉
RPXNMLSJNHIGFAU67DA,25,37.39,住家用,鋼筋混凝土造,87年10月6日,五層,三層 陽台,全筆移轉
RPXNMLSJNHIGFAU67DA,25,19.56,共有部份,鋼筋混凝土造,87年10月6日,五層,,持分移轉
RPQOMLOLNHIGFAU86DA,1,180.19,住家用,鋼筋混凝土造,111年8月23日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項,全筆移轉
RPRNMLLJOHIGFAU09DA,23,19.52,住家用,鋼筋混凝土造,88年11月25日,六層,二層 陽台,全筆移轉
RPRNMLLJOHIGFAU09DA,23,13.90,共有部份,鋼筋混凝土造,88年11月25日,六層,,持分移轉
RPOOMLLJOHIGFAU88DA,24,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,五層 陽台 雨遮,全筆移轉
RPOOMLLJOHIGFAU88DA,24,12.91,共有部份,鋼筋混凝土造,88年4月14日,五層,,持分移轉
RPOOMLLJOHIGFAU88DA,24,8.26,共有部份,鋼筋混凝土造,88年4月14日,五層,,持分移轉
RPUPMLPLNHIGFAU47DA,29,45.26,住家用,鋼筋混凝土造,83年4月14日,六層,三層 花台,全筆移轉
RPUPMLPLNHIGFAU47DA,29,12.24,共有部份,鋼筋混凝土造,83年4月14日,六層,,持分移轉
RPPNMLTKNHIGFCU27DA,12,223.83,住家用,鋼筋混凝土造,100年9月6日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLPJOHIGFAU86EA,26,36.64,住家用,鋼筋混凝土造,86年4月10日,五層,二層 陽台,全筆移轉
RPQNMLPJOHIGFAU86EA,26,4.93,共有部份,鋼筋混凝土造,86年4月10日,五層,,持分移轉
RPPNMLLJOHIGFCU56EA,30,176.78,住家用,鋼筋混凝土造,81年12月28日,三層,一層 二層 三層 陽台,全筆移轉
