編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSOMLRKNHIGFAU27DA,一樓平面,0,15.28,一樓
RPQOMLLJOHIGFAU09DA,坡道平面,0,,地下一樓
RPPNMLNJOHIGFAU09DA,坡道平面,0,,地下二樓
RPXOMLQJOHIGFAU67DA,升降機械,0,,一樓
RPQNMLOKMHIGFAU56DA,坡道機械,0,,地下一樓
RPQNMLOKMHIGFAU56DA,坡道機械,0,,地下一樓
RPTNMLPLMHIGFAU07DA,升降機械,0,6.40,一樓
RPXOMLQLMHIGFAU67DA,坡道平面,1700000,35.13,地下二樓
RPSNMLNJNHIGFAU66DA,坡道平面,650000,14.09,地下二樓
RPSNMLPLMHIGFAU96DA,升降機械,900000,6.40,一樓
RPPNMLOJNHIGFAU56EA,坡道平面,1850000,34.90,地下二樓
RPVNMLPLMHIGFAU27DA,坡道平面,1750000,34.47,地下二樓
RPUNMLTKNHIGFAU57DA,坡道機械,0,8.25,地下一樓
RPQOMLMLNHIGFAU66DA,坡道機械,0,5.16,地下一樓
RPPNMLNLNHIGFAU56DA,一樓平面,0,13.39,一樓
RPVPMLPLNHIGFAU57DA,一樓平面,0,13.40,一樓
RPQNMLQLNHIGFAU96DA,升降機械,0,17.96,地下一樓
RPPOMLLJOHIGFAU98DA,升降機械,750000,14.92,一樓
RPPOMLRJMHIGFAU76DA,一樓平面,1000000,13.75,一樓
RPQOMLRJMHIGFAU86DA,一樓平面,1000000,13.75,一樓
RPWNMLRKMHIGFAU47DA,坡道機械,800000,15.15,地下一樓
RPPOMLNKMHIGFAU09DA,一樓平面,1000000,13.75,一樓
RPPPMLTKMHIGFAU17DA,一樓平面,0,,一樓
RPPPMLNLLHIGFAU56DA,一樓平面,0,,一樓
RPTNMLRLMHIGFAU27DA,坡道平面,0,,地下一樓
RPWOMLSLMHIGFAU77DA,其他,0,40.36,地下一樓
RPVNMLOJNHIGFAU07DA,一樓平面,0,13.40,一樓
RPOOMLSJNHIGFAU86DA,一樓平面,0,,一樓
RPOOMLSJNHIGFAU86DA,一樓平面,0,,一樓
RPOOMLSJNHIGFAU86DA,一樓平面,0,,一樓
RPOOMLSJNHIGFAU86DA,坡道機械,0,,地下一樓
RPOOMLSJNHIGFAU86DA,坡道機械,0,,地下一樓
RPOOMLSJNHIGFAU86DA,坡道機械,0,,地下一樓
RPOOMLSJNHIGFAU86DA,坡道機械,0,,地下一樓
RPROMLRJLHIGFAU86DA,坡道平面,0,,地下一樓
RPSNMLTJLHIGFAU07DA,一樓平面,1000000,13.75,一樓
RPUOMLSJKHIGFAU17DA,升降機械,0,5.15,地下一樓
RPWNMLOKLHIGFAU07DA,一樓平面,0,13.50,一樓
RPOOMLOKLHIGFAU98DA,坡道機械,0,,地下一樓
RPQOMLOKLHIGFAU56DA,坡道平面,0,,地下二樓
RPRNMLKLLHIGFAU88DA,坡道平面,0,,地下一樓
RPPOMLRJLHIGFAU66DA,升降機械,0,8.25,一樓
RPVNMLNLLHIGFAU96DA,坡道平面,0,,地下一樓
RPUOMLNLLHIGFAU96DA,坡道平面,0,28.48,一樓
RPTNMLPLLHIGFAU96DA,一樓平面,0,13.40,一樓
RPPNMLTLLHIGFAU96DA,坡道平面,0,,地下一樓
RPUPMLOKMHIGFAU17DA,坡道平面,0,,地下一樓
RPUNMLNKMHIGFAU86DA,一樓平面,0,13.50,一樓
RPSNMLLKNHIGFAU56DA,一樓平面,0,10.89,一樓
RPSNMLSJLHIGFAU96DA,坡道平面,0,,地下二樓
RPROMLRLLHIGFAU07DA,坡道平面,1200000,13.75,地下一樓
RPTNMLNJNHIGFAU76DA,坡道平面,1200000,15.00,地下一樓
RPTNMLLKNHIGFAU66DA,一樓平面,0,16.34,一樓
RPQNMLNKLHIGFAU98DA,一樓平面,1300000,13.75,一樓
RPXNMLNLLHIGFAU17DA,一樓平面,0,,一樓
RPOOMLNLLHIGFAU98DA,一樓平面,1200000,13.75,一樓
