編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNJLHIGFAV88CB,台東段,8.35,都市：住,100000,640,持分移轉,07970001
RPPNMLNJLHIGFAV88CB,台東段,9.33,都市：住,100000,640,持分移轉,07970002
RPQNMLRKKHIGFAV76CB,台東段,8.35,都市：住,100000,640,持分移轉,07970001
RPQNMLRKKHIGFAV76CB,台東段,9.33,都市：住,100000,640,持分移轉,07970002
RPSNMLNJLHIGFAV56CB,台東段,14.36,都市：住,100000,1100,持分移轉,07970001
RPSNMLNJLHIGFAV56CB,台東段,16.04,都市：住,100000,1100,持分移轉,07970002
RPRNMLNJLHIGFAV09CB,台東段,8.18,都市：住,100000,627,持分移轉,07970001
RPRNMLNJLHIGFAV09CB,台東段,9.14,都市：住,100000,627,持分移轉,07970002
RPVNMLNJLHIGFAV86CB,台東段,8.38,都市：住,100000,642,持分移轉,07970001
RPVNMLNJLHIGFAV86CB,台東段,9.36,都市：住,100000,642,持分移轉,07970002
RPTNMLNJLHIGFAV66CB,台東段,8.35,都市：住,100000,640,持分移轉,07970001
RPTNMLNJLHIGFAV66CB,台東段,9.33,都市：住,100000,640,持分移轉,07970002
RPQNMLNJLHIGFAV98CB,台東段,14.36,都市：住,100000,1100,持分移轉,07970001
RPQNMLNJLHIGFAV98CB,台東段,16.04,都市：住,100000,1100,持分移轉,07970002
RPUNMLNJLHIGFAV76CB,台東段,10.94,都市：住,100000,838,持分移轉,07970001
RPUNMLNJLHIGFAV76CB,台東段,12.22,都市：住,100000,838,持分移轉,07970002
RPQNMLOJLHIGFAV09CB,台東段,19.06,都市：商,100000,1111,持分移轉,02350000
RPQNMLOJLHIGFAV09CB,台東段,.26,都市：住,100000,1111,持分移轉,02350016
RPQNMLOJLHIGFAV09CB,台東段,.43,都市：住,100000,1111,持分移轉,02350017
RPRNMLNKLHIGFAV66DB,自強段,26.27,都市：住,1000,132,持分移轉,01180000
RPPNMLOKLHIGFAV09CB,台東段,8.38,都市：住,100000,642,持分移轉,07970001
RPPNMLOKLHIGFAV09CB,台東段,9.36,都市：住,100000,642,持分移轉,07970002
RPTNMLOKLHIGFAV86CB,台東段,8.18,都市：住,100000,627,持分移轉,07970001
RPTNMLOKLHIGFAV86CB,台東段,9.14,都市：住,100000,627,持分移轉,07970002
RPQNMLOKLHIGFAV56CB,台東段,8.38,都市：住,100000,642,持分移轉,07970001
RPQNMLOKLHIGFAV56CB,台東段,9.36,都市：住,100000,642,持分移轉,07970002
RPSNMLOKLHIGFAV76CB,台東段,8.18,都市：住,100000,627,持分移轉,07970001
RPSNMLOKLHIGFAV76CB,台東段,9.14,都市：住,100000,627,持分移轉,07970002
RPPNMLRKLHIGFAV86DB,豐谷段,107.46,都市：住,1,1,全筆移轉,00570003
RPRNMLOKLHIGFAV66CB,台東段,8.35,都市：住,100000,640,持分移轉,07970001
RPRNMLOKLHIGFAV66CB,台東段,9.33,都市：住,100000,640,持分移轉,07970002
RPPNMLNLLHIGFAV09CB,台東段,19.06,都市：商,100000,1111,持分移轉,02350000
RPPNMLNLLHIGFAV09CB,台東段,.26,都市：住,100000,1111,持分移轉,02350016
RPPNMLNLLHIGFAV09CB,台東段,.43,都市：住,100000,1111,持分移轉,02350017
RPPNMLRJMHIGFAV76CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPPNMLRJMHIGFAV76CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPSNMLRJMHIGFAV07CB,南榮段,26.02,都市：住,100000,703,持分移轉,10690000
RPSNMLRJMHIGFAV07CB,南榮段,9.77,都市：農,100000,703,持分移轉,10810000
RPTNMLRJMHIGFAV17CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPTNMLRJMHIGFAV17CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPPNMLNKMHIGFAV09CB,台東段,12.65,都市：住,100000,969,持分移轉,07970001
RPPNMLNKMHIGFAV09CB,台東段,14.13,都市：住,100000,969,持分移轉,07970002
RPQNMLNKMHIGFAV56CB,台東段,12.66,都市：住,100000,970,持分移轉,07970001
RPQNMLNKMHIGFAV56CB,台東段,14.14,都市：住,100000,970,持分移轉,07970002
RPSNMLNKMHIGFAV76CB,台東段,14.36,都市：住,100000,1100,持分移轉,07970001
RPSNMLNKMHIGFAV76CB,台東段,16.04,都市：住,100000,1100,持分移轉,07970002
RPRNMLNKMHIGFAV66CB,台東段,14.37,都市：住,100000,1101,持分移轉,07970001
