編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOJNHIGFAX86DB,四維段,8.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,368,持分移轉,08560001
RPPNMLOJNHIGFAX86DB,四維段,.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,368,持分移轉,08560002
RPPNMLOJNHIGFAX86DB,四維段,10.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,368,持分移轉,08570000
RPQNMLOJLHIGFAX76DB,中衛段,35.57,都市：農,10000,1754,持分移轉,09000000
RPPNMLRJLHIGFAX96DB,中衛段,25.65,都市：農,10000,1265,持分移轉,09000000
RPPNMLOLLHIGFAX76CB,光榮段,20.48,都市：住,1000,104,持分移轉,09040002
RPPNMLLKMHIGFAX09CB,安宅段,21.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,76,持分移轉,13320000
RPQNMLLKMHIGFAX56CB,安宅段,21.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,76,持分移轉,13320000
RPQNMLOJNHIGFAX96DB,四維段,8.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,368,持分移轉,08560001
RPQNMLOJNHIGFAX96DB,四維段,.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,368,持分移轉,08560002
RPQNMLOJNHIGFAX96DB,四維段,10.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,368,持分移轉,08570000
