編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLRKLHIGFAZ27DA,福沃段,26.82,,1,1,全筆移轉,05470023
RPPNMLTJNHIGFAZ47DA,介壽段,665.43,,1,1,全筆移轉,19410003
RPPNMLPKNHIGFAZ17DA,介壽段,66.02,,1000,44,持分移轉,19310000
RPPNMLPKNHIGFAZ17DA,介壽段,267.46,,1,1,全筆移轉,19310003
RPQNMLPKNHIGFAZ27DA,介壽段,165.05,,1000,110,持分移轉,19310000
RPQNMLPKNHIGFAZ27DA,介壽段,275.99,,1,1,全筆移轉,19310004
RPPNMLMKNHIGFAZ86DA,福沃段,45.96,,6,1,持分移轉,01690000
RPPNMLKLLHIGFAZ56DA,仁愛段,42.20,,1,1,全筆移轉,04880000
RPPNMLNJNHIGFAZ86DA,介壽段,125.73,,1,1,全筆移轉,06030000
RPPNMLSLMHIGFAZ47DA,四維段,211.80,,1,1,全筆移轉,08470000
RPPNMLTLNHIGFAZ67DA,青帆段,69.11,,1,1,全筆移轉,06900000
RPPNMLLLKHIGFAZ56DA,復興段,12.10,,1,1,全筆移轉,10110002
RPPNMLPKLHIGFAZ96DA,津沙段,30.09,,1,1,全筆移轉,02650008
RPPNMLPKLHIGFAZ96DA,津沙段,66.16,,1,1,全筆移轉,04580000
RPPNMLPKLHIGFAZ96DA,津沙段,71.13,,1,1,全筆移轉,07240000
RPPNMLPKLHIGFAZ96DA,津沙段,83.10,,1,1,全筆移轉,07760000
RPOOMLKMNHIGFAZ86DA,介壽段,6.48,,5,1,持分移轉,00360006
RPOOMLKMNHIGFAZ86DA,介壽段,34.02,,5,1,持分移轉,00370000
RPQOMLKMNHIGFAZ07DA,介壽段,6.48,,5,1,持分移轉,00360006
RPQOMLKMNHIGFAZ07DA,介壽段,34.02,,5,1,持分移轉,00370000
RPPOMLKMNHIGFAZ96DA,介壽段,6.48,,5,1,持分移轉,00360006
RPPOMLKMNHIGFAZ96DA,介壽段,34.02,,5,1,持分移轉,00370000
RPPNMLRKLHIGFAZ17DA,復興段,99.82,,1,1,全筆移轉,19520000
RPROMLKMNHIGFAZ17DA,介壽段,6.48,,5,1,持分移轉,00360006
RPROMLKMNHIGFAZ17DA,介壽段,34.02,,5,1,持分移轉,00370000
