,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,u,富里鄉,後湖段1397地號,1100202,150000,1067.7734,140.47924400439268,土地,其他,,0,0,0,
1,u,瑞穗鄉,仁愛六街11號,1100203,2850000,83259.8788,34.23017233601834,房地(土地+建物),透天厝,75,3,3,2,
2,u,花蓮市,德安五街32號二樓之一,1100201,6150000,206506.7144,29.78111398396255,房地(土地+建物),華廈,109,2,2,2,
3,u,花蓮市,明禮路5號四樓之十一,1100202,3500000,162847.01380000002,21.492564820982917,房地(土地+建物),華廈,86,1,1,1,
4,u,吉安鄉,福興四街17之1號,1100202,10500000,164427.1862,63.858053176367015,房地(土地+建物),透天厝,104,4,2,5,
5,u,花蓮市,國盛八街1巷3號五樓之一,1100209,1000000,123028.6528,8.128187842759178,房地(土地+建物),公寓,78,1,0,1,
6,u,玉里鎮,民權街88巷4號,1100217,5000000,140063.4402,35.69810932003653,房地(土地+建物),公寓,77,4,2,2,
7,u,卓溪鄉,太平段22地號,1100209,200000,254.5466,785.7107500159105,土地,其他,,0,0,0,
8,u,鳳林鎮,光復路23號,1100204,1900000,64906.0772,29.273067822992697,房地(土地+建物),公寓,73,3,1,1,
9,u,玉里鎮,禹中段564地號,1100201,215000,4998.3696,43.01402601360252,土地,其他,,0,0,0,
10,u,瑞穗鄉,舞鶴東段224地號,1100222,490750,826.45,593.8048278782745,土地,其他,,0,0,0,
11,u,花蓮市,中正路266號十樓之二,1100205,5000000,165838.7628,30.149766650333454,房地(土地+建物),住宅大樓,84,3,2,2,
12,u,花蓮市,民德段136地號,1100203,57741727,404411.73720000003,142.7795528383591,土地,其他,,0,0,0,
13,u,花蓮市,北濱段617地號,1100203,31949335,364199.98600000003,87.72470134032349,土地,其他,,0,0,0,
14,u,花蓮市,南京街205號等159戶,1100213,1900000,179971.91977077365,10.557202492588782,車位,其他,107,0,0,0,坡道平面
15,u,壽豐鄉,豐南段1637地號,1100221,2000000,3616.5452,553.0139648192425,土地,其他,,0,0,0,
16,u,玉里鎮,玉璞段1885地號,1100205,700000,8175.2434,85.62436196089281,土地,其他,,0,0,0,
17,u,富里鄉,富田段121地號,1100217,1250000,1662.8174000000001,751.7361798114453,土地,其他,,0,0,0,
18,u,壽豐鄉,豐東段1112-1地號,1100224,9600000,48066.332,199.72399807832227,土地,其他,,0,0,0,
19,u,花蓮市,綜合市場34號,1100208,2180000,66661.457,32.70255554120277,房地(土地+建物),透天厝,57,2,1,2,
20,u,新城鄉,嘉南段171-13地號,1100208,7590000,228348.135,33.23872121837124,土地,其他,,0,0,0,
21,u,新城鄉,復興路325巷26號,1100208,5060000,77474.7288,65.311619393497,房地(土地+建物),透天厝,105,4,2,5,
22,u,花蓮市,國民八街5號五樓之八,1100205,6350000,290745.11,21.840436112579848,房地(土地+建物),住宅大樓,108,1,2,1,
23,u,新城鄉,嘉南段706地號,1100218,4500000,6254.5736,719.473506555267,土地,其他,,0,0,0,
24,u,花蓮市,長安街26號九樓之三,1100226,2060000,160840.3932,12.807727953253972,房地(土地+建物),住宅大樓,85,1,0,1,
25,u,壽豐鄉,大坪段293-1地號,1100220,6000000,6000.027,999.9955000202499,土地,其他,,0,0,0,
26,u,花蓮市,中福路197之1號,1100218,31500000,268530.134,117.30527047664602,房地(土地+建物),透天厝,108,7,2,7,
27,u,花蓮市,國興二街125號二樓之五,1100223,1480000,151332.9124,9.779762885208306,房地(土地+建物),華廈,83,1,1,1,
28,u,吉安鄉,慈惠四街18巷8弄21號,1100206,19700000,243700.2702,80.83700516143293,房地(土地+建物),透天厝,106,5,2,6,
29,u,吉安鄉,仁禮段971-2地號,1100102,544000,99907.8876,5.44501553448919,土地,其他,,0,0,0,
30,u,吉安鄉,仁禮段969地號,1100102,1600000,132232.0,12.099945550245025,土地,其他,,0,0,0,
31,u,吉安鄉,仁禮段970-2地號,1100102,5439100,112377.3652,48.400316116327666,土地,其他,,0,0,0,
32,u,花蓮市,國盛四街116號四樓之二十,1100102,3700000,146013.8802,25.340056677707548,房地(土地+建物)+車位,華廈,84,2,1,1,坡道平面
33,u,富里鄉,鱉溪段1673地號,1100111,100000,204.9596,487.9010302518155,土地,其他,,0,0,0,
34,u,富里鄉,中興段140地號,1100108,600000,433.0598,1385.4899485013386,土地,其他,,0,0,0,
35,u,玉里鎮,禹中段180地號,1100112,1240000,32456.3444,38.205165212629424,土地,其他,,0,0,0,
36,u,花蓮市,國民七街51號十二樓之八,1100107,2100000,171412.3416,12.251159866309182,房地(土地+建物),住宅大樓,83,1,1,1,
37,u,壽豐鄉,志學新158之1號,1100108,3800000,90400.4068,42.03520907164768,房地(土地+建物)+車位,公寓,88,4,2,2,一樓平面
38,u,吉安鄉,明義二街48巷16弄11號,1100107,6000000,160645.351,37.34935348362493,房地(土地+建物),透天厝,81,3,2,2,
39,u,花蓮市,永興路6號三樓之三,1100111,8700000,211574.5058,41.12026620175142,房地(土地+建物)+車位,華廈,109,2,2,2,坡道平面
40,u,花蓮市,永興路6號六樓之三,1100111,8000000,221402.6492,36.13326231147915,房地(土地+建物),華廈,109,2,2,2,
41,u,花蓮市,北昌五街96號三樓,1100112,3480000,125729.4914,27.678470351308523,房地(土地+建物),公寓,74,2,2,1,
42,u,吉安鄉,吉興段311-58地號,1100112,3220000,32198.492000000002,100.00468344915035,土地,其他,,0,0,0,
43,u,富里鄉,泥火山段631地號,1100118,380000,1147.1126,331.26652082803383,土地,其他,,0,0,0,
44,u,花蓮市,國富九街41號六樓之一,1100106,3300000,156225.4964,21.12331262210027,房地(土地+建物),華廈,83,2,2,1,
45,u,花蓮市,永興路6號六樓之六,1100111,6200000,225032.41760000002,27.5515859720293,房地(土地+建物),華廈,109,1,2,1,
46,u,花蓮市,永興路6號八樓之五,1100111,10750000,236179.5752,45.516213630652686,房地(土地+建物)+車位,華廈,109,2,2,2,坡道平面
47,u,花蓮市,國民段427地號,1100111,1200000,14327.3372,83.75596827580773,土地,其他,,0,0,0,
48,u,瑞穗鄉,中華路68號,1100118,12950000,128169.1718,101.03833720801182,房地(土地+建物),透天厝,109,6,3,7,
49,u,花蓮市,明義段288地號,1100114,6800000,277525.2158,24.50227803768453,土地,其他,,0,0,0,
50,u,萬榮鄉,支亞干段2507地號,1100112,440000,757.0282,581.220091933167,土地,其他,,0,0,0,
51,u,玉里鎮,高寮段1348地號,1100121,890000,2033.067,437.7622577121167,土地,其他,,0,0,0,
52,u,花蓮市,永興路6之3號,1100111,17200000,322589.8814,53.318473367342264,房地(土地+建物),華廈,109,0,0,0,
53,u,光復鄉,阿托莫段1528地號,1100107,1400000,892.566,1568.5114602169474,土地,其他,,0,0,0,
54,u,玉里鎮,禹西段726地號,1100120,2000000,3163.6506,632.1810632311925,土地,其他,,0,0,0,
55,u,玉里鎮,泰林段712地號,1100111,4465000,1652.9,2701.3128440922014,土地,其他,,0,0,0,
56,u,花蓮市,民德四街9號七樓之一,1100117,7200000,153927.96540000002,46.77512615261268,房地(土地+建物),華廈,81,2,2,2,
57,u,壽豐鄉,榮光段46-8地號,1100121,6000000,1051.2444,5707.521485964634,土地,其他,,0,0,0,
58,u,新城鄉,民生路93號,1100118,10530000,168635.4696,62.44237955975069,房地(土地+建物),透天厝,109,3,3,4,
59,u,花蓮市,中美五街140巷3號,1100114,4700000,162489.9874,28.92485915719875,房地(土地+建物),公寓,72,3,1,2,
60,u,花蓮市,永興路6號八樓之三,1100111,12700000,231273.768,54.91327490284155,房地(土地+建物)+車位,華廈,109,2,2,2,坡道平面
61,u,花蓮市,永興路6號七樓之二,1100111,16300000,241158.11000000002,67.59051146984027,房地(土地+建物)+車位,華廈,109,3,2,3,坡道平面
62,u,花蓮市,永興路6號七樓之三,1100111,12300000,222258.8514,55.3408780911211,房地(土地+建物)+車位,華廈,109,2,2,2,坡道平面
63,u,花蓮市,永興路6號三樓之一,1100111,11850000,231577.9016,51.170685622967056,房地(土地+建物)+車位,華廈,109,2,2,3,坡道平面
64,u,花蓮市,永興路6號五樓之一,1100111,10780000,216447.255,49.80428141719792,房地(土地+建物)+車位,華廈,109,2,2,3,坡道平面
