,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,v,成功鎮,新八邊段75地號,1100304,1900000,2370.2586,801.6002979590496,土地,其他,,0,0,0,
1,v,太麻里鄉,龍泉路30之1號十二樓之15,1100302,980000,65848.2302,14.882708267533664,房地(土地+建物),套房,87,1,0,1,
2,v,台東市,精誠路169巷28號,1100203,3200000,228034.084,14.032989910403042,房地(土地+建物),透天厝,66,3,2,1,
3,v,台東市,中正路351號,1100201,12500000,218232.38700000002,57.27839103918154,房地(土地+建物),透天厝,105,3,2,3,
4,v,金峰鄉,新歷坵段191地號,1100203,250000,6935.5684,36.04607230173089,土地,其他,,0,0,0,
5,v,台東市,新站路61號,1100201,13500000,166288.3516,81.18427941647839,房地(土地+建物),透天厝,102,5,2,6,
6,v,成功鎮,都豐段924地號,1100202,5750000,7319.041200000001,785.6220292898473,土地,其他,,0,0,0,
7,v,台東市,中興路二段450巷28弄18號五樓,1100208,1950000,146076.6904,13.349152384684642,房地(土地+建物),華廈,85,1,1,1,
8,v,長濱鄉,烏石鼻段52地號,1100204,100000,11328.9766,8.826922636595436,土地,其他,,0,0,0,
9,v,長濱鄉,長濱路112之1號,1100202,6900000,261105.3072,26.4261193079265,房地(土地+建物),透天厝,68,3,2,2,
10,v,金峰鄉,新歷坵段192地號,1100203,250000,7087.6352,35.27269575048106,土地,其他,,0,0,0,
11,v,延平鄉,鸞山段908地號,1100204,240000,366.9438,654.0511108240553,土地,其他,,0,0,0,
12,v,台東市,中華路一段719巷201弄46號,1100209,2700000,190718.21360000002,14.157011797849599,房地(土地+建物),透天厝,63,2,2,1,
13,v,長濱鄉,永福段934地號,1100205,2500000,3302.4942,757.0036004908047,土地,其他,,0,0,0,
14,v,延平鄉,紅葉段229-1地號,1100217,700000,320.6626,2182.9798673122464,土地,其他,,0,0,0,
15,v,延平鄉,紅葉段1181地號,1100219,770000,360.3322,2136.916989378135,土地,其他,,0,0,0,
16,v,太麻里鄉,蘭里段1034地號,1100205,600000,6545.484,91.6662541685229,土地,其他,,0,0,0,
17,v,台東市,康樂路131巷5弄6號二樓,1100202,2500000,88750.8126,28.168756169788576,房地(土地+建物),公寓,84,3,2,2,
18,v,台東市,中心段1074-4地號,1100219,186217,205197.6176,0.907500789619304,土地,其他,,0,0,0,
19,v,台東市,中心段1073-1地號,1100219,620723,205197.6176,3.025001007614038,土地,其他,,0,0,0,
20,v,太麻里鄉,龍泉路53巷3號七樓之7,1100217,780000,69709.4046,11.189308020570872,房地(土地+建物),套房,83,1,0,1,
21,v,池上鄉,大埔段246地號,1100220,4500000,111131.07860000001,40.492723158002356,土地,其他,,0,0,0,
22,v,台東市,長安街32號,1100204,10500000,270523.5314,38.81362906088398,房地(土地+建物),透天厝,67,4,2,5,
23,v,台東市,永豐段313地號,1100205,1360000,19272.814000000002,70.5657201901082,土地,其他,,0,0,0,
24,v,長濱鄉,田組段759地號,1100218,5300000,3398.3624,1559.5746939761339,土地,其他,,0,0,0,
25,v,成功鎮,麒麟段1203-1地號,1100223,150000,45745.6604,3.278999552928085,土地,其他,,0,0,0,
26,v,台東市,建華段1050地號,1100219,5070000,5041.345,1005.6839990121683,土地,其他,,0,0,0,
27,v,太麻里鄉,蘭里段1272地號,1100220,350000,16529.0,21.174904712928793,土地,其他,,0,0,0,
28,v,成功鎮,沙泥灣段398地號,1100224,2600000,3804.9758,683.3157782501534,土地,其他,,0,0,0,
29,v,台東市,建成段34地號,1100207,11810000,102939.3062,114.7277986996963,土地,其他,,0,0,0,
30,v,台東市,建成段325-1地號,1100107,1449000,51970.4818,27.88121159962,土地,其他,,0,0,0,
