,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,w,金寧鄉,安岐50之9號三樓,1100303,4250000,175511.5336,24.214932847011486,房地(土地+建物),公寓,105,3,1,2,
1,w,金寧鄉,鎮西段444地號,1100203,1000000,4740.5172,210.94744683132885,土地,其他,,0,0,0,
2,w,金湖鎮,新頭段632地號,1100202,4000000,9573.5968,417.81579938691385,土地,其他,,0,0,0,
3,w,烈嶼鄉,東坑段309地號,1100203,1500000,5173.577,289.93479752983285,土地,其他,,0,0,0,
4,w,金寧鄉,中山林段187-10地號,1100205,3000000,12396.75,241.9989110049005,土地,其他,,0,0,0,
5,w,金湖鎮,士校路1483號二樓,1100202,4900000,170493.3292,28.740127387928325,房地(土地+建物),公寓,103,2,2,2,
6,w,金沙鎮,沙碧劃段322地號,1100201,1000000,8700.865600000001,114.93109375232734,土地,其他,,0,0,0,
7,w,金城鎮,金城劃段265地號,1100202,5000000,33058.0,151.2493193780628,土地,其他,,0,0,0,
8,w,金寧鄉,古寧頭段140地號,1100217,1645900,11732.2842,140.28811201147002,土地,其他,,0,0,0,
9,w,金城鎮,庵前劃測段617地號,1100203,2300000,11881.0452,193.58566197526122,土地,其他,,0,0,0,
10,w,金沙鎮,沙港劃段19地號,1100201,7000000,23127.376800000002,302.67159395267,土地,其他,,0,0,0,
11,w,金湖鎮,下莊中興路26號,1100222,3800000,72899.5016,52.12655665124602,房地(土地+建物),透天厝,68,6,1,2,
12,w,金城鎮,北堤段537-5地號,1100222,920000,106826.927,8.61206088985411,土地,其他,,0,0,0,
13,w,金城鎮,北堤段537-4地號,1100222,650000,260771.4214,2.4926044292367386,土地,其他,,0,0,0,
14,w,金城鎮,北堤段537-3地號,1100222,650000,259511.9116,2.5047019845542997,土地,其他,,0,0,0,
15,w,烈嶼鄉,西方劃測段501地號,1100223,3500000,22115.802,158.25788275731534,土地,其他,,0,0,0,
16,w,金寧鄉,榜林5之9號,1100205,8800000,251045.7578,35.05337065687712,房地(土地+建物),公寓,109,3,2,2,
17,w,金湖鎮,新頭307號,1100208,12200000,179366.0964,68.0173134436347,房地(土地+建物),透天厝,107,5,2,3,
18,w,金寧鄉,湖下211-10號,1100223,5250000,241181.2506,21.767861253473406,房地(土地+建物),華廈,109,2,2,1,
19,w,金寧鄉,湖下211-9號五樓,1100223,5400000,232136.5818,23.26216729017072,房地(土地+建物),華廈,109,2,2,1,
20,w,金寧鄉,湖下211-11號五樓,1100223,4900000,210642.2702,23.262187572074506,房地(土地+建物),華廈,109,2,2,1,
21,w,金城鎮,金門城30之6號,1100225,4650000,153276.72280000002,30.337287456670488,房地(土地+建物),公寓,100,3,2,2,
22,w,金湖鎮,后壟段174地號,1100218,3870000,9917.4,390.223243995402,土地,其他,,0,0,0,
23,w,金城鎮,水頭段874地號,1100104,3600000,17904.2128,201.0699962189904,土地,其他,,0,0,0,
24,w,金寧鄉,東洲段505地號,1100112,1000000,86492.9512,11.561635787957714,土地,其他,,0,0,0,
25,w,金寧鄉,寧安二劃段532-1地號,1100106,13461468,90264.869,149.13296999301022,土地,其他,,0,0,0,
26,w,金城鎮,金門城測段986地號,1100105,980000,7685.985000000001,127.50480257247443,土地,其他,,0,0,0,
27,w,金湖鎮,市港段90地號,1100114,25500000,365591.7278,69.74993704986123,土地,其他,,0,0,0,
28,w,金湖鎮,羅劃測段150地號,1100112,21500000,65372.195,328.88600421019976,土地,其他,,0,0,0,
29,w,金湖鎮,信義新村87號,1100110,11800000,262860.68700000003,44.890699079699196,房地(土地+建物),透天厝,77,4,3,2,
