,縣市,鄉鎮市區,地址地號,交易日期,總價元,單價元坪,總面積坪,交易標的,建物型態,建築完成年,房,廳,衛,車位類別
0,x,馬公市,東衛段1500地號,1100303,1200000,19983.561,60.04935756945421,土地,其他,,0,0,0,
1,x,馬公市,文東段94地號,1100302,9860000,36472.8914,270.3377665308981,土地,其他,,0,0,0,
2,x,湖西鄉,成功南段707地號,1100201,1100000,35844.7894,30.68786338022117,土地,其他,,0,0,0,
3,x,馬公市,興仁南段270地號,1100204,1426500,12000.054,118.87446506490721,土地,其他,,0,0,0,
4,x,馬公市,案山段129-2地號,1100201,3990000,96886.3864,41.18225633400236,土地,其他,,0,0,0,
5,x,湖西鄉,林投北段195地號,1100201,2250000,18449.6698,121.95340211454625,土地,其他,,0,0,0,
6,x,馬公市,文石段146地號,1100217,3980000,43391.9308,91.72212267632027,土地,其他,,0,0,0,
7,x,馬公市,四維段728地號,1100217,1126800,44998.5496,25.040807093035728,土地,其他,,0,0,0,
8,x,馬公市,鐵線尾83之1號,1100225,9200000,110433.5548,83.30801282872405,房地(土地+建物),透天厝,109,5,1,6,
9,x,馬公市,光榮段624地號,1100223,2460000,86949.1516,28.29239796745757,土地,其他,,0,0,0,
10,x,湖西鄉,隘門新段1257地號,1100108,1356000,5996.7212,226.12356899300238,土地,其他,,0,0,0,
11,x,馬公市,山水北段535-1地號,1100111,4020000,52294.4502,76.87240203550319,土地,其他,,0,0,0,
12,x,白沙鄉,岐頭段1287地號,1100119,6000000,7533.9182,796.3983468787861,土地,其他,,0,0,0,
13,x,湖西鄉,南寮北段952地號,1100118,1360000,22565.3908,60.2692863621932,土地,其他,,0,0,0,
14,x,七美鄉,大嶼段856地號,1100120,630000,8254.5826,76.32124245749264,土地,其他,,0,0,0,
15,x,馬公市,貿商街126號,1100112,5800000,108069.9078,53.668964081414714,房地(土地+建物)+車位,住宅大樓,95,3,2,2,坡道平面
16,x,馬公市,文東段616地號,1100110,1200000,15107.506000000001,79.43071477184917,土地,其他,,0,0,0,
17,x,馬公市,興仁段1126地號,1100115,2185750,4998.3696,437.29259236851954,土地,其他,,0,0,0,
18,x,馬公市,中衛段1631地號,1100114,68671000,135683.2552,506.1125626649912,土地,其他,,0,0,0,
19,x,白沙鄉,岐頭段1230地號,1100114,5485800,14998.4146,365.75865825178613,土地,其他,,0,0,0,
20,x,馬公市,西澳段336地號,1100112,6000000,168420.5926,35.625097307726726,土地,其他,,0,0,0,
21,x,馬公市,山水東段695-5地號,1100107,2672800,21362.0796,125.11890462200131,土地,其他,,0,0,0,
22,x,西嶼鄉,竹灣段1056地號,1100120,4166000,4000.018,1041.4953132710903,土地,其他,,0,0,0,
23,x,馬公市,文學路5號,1100113,13000000,266844.176,48.71757066191319,房地(土地+建物),透天厝,86,6,1,3,
24,x,馬公市,文明路139號,1100122,19000000,176622.2824,107.57419585921963,房地(土地+建物),透天厝,106,6,3,7,
25,x,西嶼鄉,內垵一段232地號,1100116,4489900,20000.09,224.493989777046,土地,其他,,0,0,0,
26,x,馬公市,菜園7之1號,1100120,8550000,179161.1368,47.72240315456627,房地(土地+建物),透天厝,88,4,4,2,
27,x,馬公市,興崁段975地號,1100113,17550000,24998.459600000002,702.0432570973293,土地,其他,,0,0,0,
28,x,馬公市,三多路411號十樓之八,1100124,3600000,141693.1996,25.40700619481247,房地(土地+建物),華廈,85,2,1,1,
29,x,湖西鄉,隘門新段1010地號,1100120,1052000,10995.0908,95.67906433296577,土地,其他,,0,0,0,
30,x,馬公市,中衛段372地號,1100126,16940000,100000.45,169.39923770343034,土地,其他,,0,0,0,
31,x,湖西鄉,湖西41之22號,1100118,5000000,94939.2702,52.66524578782785,房地(土地+建物),透天厝,97,5,2,4,
32,x,馬公市,風櫃東段927地號,1100105,5087000,10000.045,508.69771086030113,土地,其他,,0,0,0,
33,x,湖西鄉,太武新段330地號,1100119,9353000,39788.6088,235.06727885394173,土地,其他,,0,0,0,
34,x,馬公市,中衛段1373地號,1100106,1280000,29963.7712,42.71825436979709,土地,其他,,0,0,0,
35,x,馬公市,鐵線段323地號,1100125,7340000,16991.812,431.9727642937669,土地,其他,,0,0,0,
36,x,馬公市,貿商街136號二樓之五,1100127,5000000,87937.5858,56.85850884480388,房地(土地+建物)+車位,住宅大樓,95,3,2,2,坡道平面
37,x,湖西鄉,湖西南段1574地號,1100126,2000000,28291.0364,70.6937692816372,土地,其他,,0,0,0,
38,x,馬公市,興仁段738地號,1100107,2566500,14998.4146,171.1180860409073,土地,其他,,0,0,0,
39,x,馬公市,中華路167號二樓,1100111,18000000,199386.02120000002,90.27714125427364,房地(土地+建物),華廈,81,3,2,2,
40,x,馬公市,五德西段197地號,1100115,2592000,35993.5504,72.01290151137744,土地,其他,,0,0,0,
41,x,馬公市,陽明路184號,1100118,8480000,343545.3476,24.683786461499444,房地(土地+建物),透天厝,64,5,1,6,
42,x,湖西鄉,北寮新段85地號,1100121,3000000,29940.6306,100.19829041276104,土地,其他,,0,0,0,
43,x,湖西鄉,機場段1420地號,1091207,3620000,22026.5454,164.34715177805413,土地,其他,,0,0,0,
44,x,湖西鄉,中西段268地號,1091204,51812,12995.0998,3.9870413307637698,土地,其他,,0,0,0,
45,x,白沙鄉,小赤段943地號,1091203,500000,34300.9808,14.576842654015305,土地,其他,,0,0,0,
46,x,白沙鄉,赤崁西段1051地號,1091207,556700,10000.045,55.66974948612731,土地,其他,,0,0,0,
47,x,湖西鄉,湖西南段1332地號,1091208,1560000,7590.1168,205.53043399806444,土地,其他,,0,0,0,
48,x,湖西鄉,許家段788-4地號,1091210,1638000,36000.162000000004,45.499795250921366,土地,其他,,0,0,0,
49,x,湖西鄉,林投南段200地號,1091216,8140000,20998.441600000002,387.64781477878813,土地,其他,,0,0,0,
50,x,白沙鄉,赤崁南段326地號,1091211,75000,17914.1302,4.186639215115228,土地,其他,,0,0,0,
51,x,白沙鄉,講美段1161地號,1091207,470000,9881.0362,47.56586156419505,土地,其他,,0,0,0,
52,x,白沙鄉,講美段1231地號,1091207,2000000,9467.8112,211.24206617047878,土地,其他,,0,0,0,
53,x,湖西鄉,紅羅段2741-1地號,1091207,2000000,5180.1886,386.08632898037723,土地,其他,,0,0,0,
54,x,馬公市,東衛179號,1091204,5560000,94836.7904,58.62703679183137,房地(土地+建物),透天厝,84,4,2,5,
55,x,馬公市,山水北段478地號,1091211,2260000,46948.971600000004,48.1373696372936,土地,其他,,0,0,0,
56,x,湖西鄉,良文港119之69號,1091214,4760000,61084.572400000005,77.92474945768794,房地(土地+建物),透天厝,89,4,2,5,
57,x,馬公市,西文澳109號,1091218,9433600,746244.6804000001,12.641430147205106,房地(土地+建物),透天厝,59,3,2,1,
58,x,湖西鄉,城北段126地號,1091223,760000,18998.4326,40.00330006171141,土地,其他,,0,0,0,
59,x,湖西鄉,城北段969地號,1091222,1232800,10000.045,123.27944524249641,土地,其他,,0,0,0,
60,x,馬公市,西衛237之18號,1091211,13600000,172519.7846,78.83153825825029,房地(土地+建物),透天厝,101,5,2,5,
61,x,湖西鄉,南寮南段829地號,1091208,2300000,13619.896,168.8705993056041,土地,其他,,0,0,0,
62,x,馬公市,興仁段1178地號,1091229,2710400,4998.3696,542.2568191035733,土地,其他,,0,0,0,
63,x,馬公市,興崁段883地號,1091229,8836000,22423.2414,394.05542857867107,土地,其他,,0,0,0,
64,x,馬公市,山水東段233地號,1091228,1992900,5368.6192,371.212769197711,土地,其他,,0,0,0,
65,x,西嶼鄉,池東96之13號,1091207,3500000,62344.082200000004,56.14005173373135,房地(土地+建物),透天厝,86,3,3,4,
66,x,馬公市,鐵線段705地號,1091210,10700000,41087.7882,260.41800906674257,土地,其他,,0,0,0,
67,x,馬公市,烏崁新段661-3地號,1091229,9807880,8515.7408,1151.7353839609586,土地,其他,,0,0,0,
68,x,馬公市,五福段73地號,1091221,8000000,62039.9486,128.94917195337587,土地,其他,,0,0,0,
69,x,馬公市,中華路184巷16號五樓之一,1091225,1000000,98797.1388,10.121750610858783,房地(土地+建物),華廈,82,1,1,1,
70,x,馬公市,鎖港南段377-4地號,1091217,6350000,111603.808,56.89770012148689,土地,其他,,0,0,0,
71,x,馬公市,貿商街126號,1091231,5500000,102479.8,53.6691133276997,房地(土地+建物)+車位,住宅大樓,95,3,2,2,坡道平面
72,x,馬公市,三多路411號九樓之六,1091209,4600000,140777.49300000002,32.67567778039633,房地(土地+建物)+車位,華廈,85,3,2,2,坡道機械
73,x,馬公市,山水北段535-1地號,1091223,16230000,51940.7296,312.47154448904774,土地,其他,,0,0,0,
74,x,馬公市,六合路458巷1弄6號,1091209,13980000,178099.975,78.4952384187589,房地(土地+建物),透天厝,108,6,2,6,
75,x,馬公市,中華路98之2號,1091225,10200000,267654.097,38.10888798014551,房地(土地+建物),華廈,82,0,0,0,
76,x,馬公市,馬公段1226地號,1091222,6350000,374854.5794,16.939902428733674,土地,其他,,0,0,0,
77,x,馬公市,興崁段557地號,1091224,3000000,10833.106600000001,276.92887283136304,土地,其他,,0,0,0,
78,x,馬公市,朝陽路90號三樓,1091223,5300000,95445.0576,55.52932894872075,房地(土地+建物)+車位,華廈,84,4,2,2,坡道機械
79,x,湖西鄉,鼎灣新段809地號,1091218,6000000,14102.542800000001,425.45518812394596,土地,其他,,0,0,0,
80,x,白沙鄉,吉貝西段839地號,1091226,520000,4069.4398,127.78171580275004,土地,其他,,0,0,0,
81,x,馬公市,民裕街36巷15號四樓,1091203,4280000,127203.8782,33.64677288589146,房地(土地+建物),公寓,84,3,2,2,
82,x,馬公市,中山路12巷4號,1091227,3900000,446729.283,8.730119444621229,房地(土地+建物),透天厝,,4,1,3,
83,x,馬公市,文明路156號七樓,1091226,3170000,100023.5906,31.69252354354094,房地(土地+建物),華廈,81,3,2,2,
84,x,馬公市,五福段881地號,1091217,20030000,36390.2464,550.4222142337568,土地,其他,,0,0,0,
85,x,馬公市,石泉1之277號,1091220,3600000,147286.6132,24.442139864480232,房地(土地+建物),透天厝,79,4,1,2,
86,x,馬公市,雙湖段79-3地號,1091221,6560000,38694.389,169.53362411278803,土地,其他,,0,0,0,
87,x,馬公市,東文澳132號,1091201,3000000,90628.507,33.10216729047517,房地(土地+建物),透天厝,72,3,2,2,
88,x,馬公市,五福段581地號,1091209,9356000,47996.9102,194.92921442264006,土地,其他,,0,0,0,
89,x,馬公市,林森路45巷6號六樓,1091217,6000000,163223.875,36.75932825390893,房地(土地+建物)+車位,華廈,84,3,2,2,坡道平面
90,x,馬公市,五福段50地號,1091231,48850000,107336.0202,455.1128307997393,土地,其他,,0,0,0,
91,x,湖西鄉,成功南段611地號,1091231,4000000,6000.027,666.6636666801666,土地,其他,,0,0,0,
92,x,馬公市,五福段77-1地號,1091221,18500000,47107.65,392.7175310167244,土地,其他,,0,0,0,
93,x,馬公市,五福段73-1地號,1091221,7500000,59897.7902,125.21330043992174,土地,其他,,0,0,0,
94,x,馬公市,文寮段366-1地號,1091231,11066000,31996.838200000002,345.84667181271675,土地,其他,,0,0,0,
95,x,湖西鄉,湖東新段1257地號,1091201,9000000,9375.2488,959.974523556111,土地,其他,,0,0,0,
96,x,馬公市,鐵線段622-2地號,1091230,1000000,24469.531600000002,40.867149251030206,土地,其他,,0,0,0,
97,x,馬公市,鐵線尾102號,1091230,5000000,91193.7988,54.828289486718916,房地(土地+建物),透天厝,101,5,2,5,
98,x,馬公市,興崁段535-8地號,1091231,11000000,159442.0398,68.99058751254134,土地,其他,,0,0,0,
99,x,馬公市,鎖管港1656號,1091208,4132000,176298.314,23.4375468843111,房地(土地+建物),透天厝,63,6,2,2,
100,x,馬公市,文石段746地號,1091230,8600000,40730.7618,211.14262586662448,土地,其他,,0,0,0,
101,x,馬公市,頭掛272號,1091211,8580000,111769.098,76.76540433385264,房地(土地+建物),透天厝,103,5,1,5,
102,x,馬公市,民裕街36巷30號三樓,1091231,3800000,113960.8434,33.34478656552309,房地(土地+建物),公寓,84,3,2,2,
103,x,馬公市,石泉58之1號三樓,1091130,4360000,119177.3958,36.58411874779362,房地(土地+建物),華廈,109,3,2,2,
104,x,馬公市,石泉58之2號一樓,1091130,3600000,130622.0754,27.560425670590746,房地(土地+建物),華廈,109,2,2,2,
105,x,馬公市,石泉58之2號二樓,1091130,3480000,112906.2932,30.82201975965676,房地(土地+建物),華廈,109,2,2,2,
106,x,馬公市,五福路201巷8弄30號,1091112,13300000,189326.4718,70.24902473252554,房地(土地+建物),透天厝,106,7,0,5,
107,x,馬公市,東衛段1496地號,1091127,2000000,18952.1514,105.52891636355332,土地,其他,,0,0,0,
